,LOC,DATE,PER,ORG,Mean
lug,0.99771947,0.9858699,0.9980855,0.9956913,0.99434155
kin,0.9959005,0.98817563,0.99326664,0.99280953,0.9925381
nya,0.9934164,0.9845218,0.9954022,0.99320304,0.9916359
sna,0.9933057,0.9881834,0.9902224,0.99089456,0.9906515
xho,0.9903646,0.98933315,0.98097384,0.98873997,0.98735285
luo,0.9909444,0.9742649,0.99203205,0.9873426,0.986146
tsn,0.9852441,0.9806551,0.9885014,0.98888606,0.98582166
zul,0.98914135,0.9756322,0.99137795,0.9835913,0.9849357
wol,0.9829478,0.97433126,0.98560727,0.98311627,0.9815006
hau,0.9787028,0.9828635,0.9841498,0.9785016,0.98105437
ibo,0.985942,0.9724747,0.9880784,0.9740595,0.98013866
swa,0.9791519,0.96959174,0.9877233,0.97832453,0.9786979
twi,0.9758414,0.96667886,0.985922,0.98448336,0.97823143
bam,0.97442496,0.9739433,0.97910637,0.96593547,0.97335255
ewe,0.9729428,0.9628223,0.9789202,0.97657466,0.972815
mos,0.9595672,0.9638335,0.9838612,0.9768703,0.97103304
yor,0.9555361,0.9450741,0.9589138,0.95729697,0.9542053
pcm,0.9525458,0.92306846,0.9733005,0.95910954,0.9520061
fon,0.9441242,0.89687717,0.96737427,0.9532273,0.9404007
bbj,0.8804223,0.92002213,0.95261776,0.92157674,0.91865975
