,DATE,PER,ORG,LOC,Mean
lug,0.6625215,0.79920244,0.74668235,0.7802079,0.7471535
kin,0.67633206,0.71640575,0.7100132,0.74163675,0.71109694
nya,0.655324,0.7362867,0.7242762,0.7098382,0.7064312
sna,0.6734914,0.6905991,0.70579755,0.703837,0.69343126
luo,0.6269089,0.70001173,0.68512946,0.68759054,0.6749102
xho,0.68020517,0.64150745,0.6829583,0.6839631,0.6721585
zul,0.62702405,0.7027396,0.6670633,0.68705493,0.67097044
tsn,0.6413906,0.6750879,0.6861928,0.6628977,0.6663922
wol,0.63189304,0.666756,0.65694976,0.64995456,0.65138835
ibo,0.6262911,0.6785596,0.6373304,0.6584636,0.65016115
hau,0.654496,0.6588987,0.64243335,0.64188695,0.6494288
swa,0.61229163,0.6752584,0.6416285,0.6388615,0.64201
twi,0.6084954,0.66198444,0.6641611,0.62311935,0.63944006
bam,0.6244508,0.64616346,0.6100879,0.6252058,0.626477
ewe,0.60448194,0.64481866,0.63229173,0.62274015,0.62608314
mos,0.60448056,0.662852,0.6323668,0.6039726,0.625918
yor,0.57187986,0.5946668,0.60594094,0.5905744,0.5907655
pcm,0.55500484,0.6212678,0.59974736,0.5840001,0.59000504
fon,0.5329336,0.6161064,0.59060925,0.57975274,0.5798505
bbj,0.54986244,0.58989847,0.5323033,0.5266874,0.5496879
