,ORG,DATE,PER,LOC,Mean
lug,0.9999895,0.9999523,0.9999948,0.9999649,0.9999754
luo,0.999988,0.99986225,0.99999124,0.99995804,0.9999499
twi,0.99998057,0.999898,0.99998164,0.9999289,0.9999473
nya,0.99998885,0.999922,0.9999767,0.9998302,0.9999294
kin,0.999989,0.9998936,0.9999898,0.9998442,0.9999292
wol,0.9999853,0.99983895,0.9999837,0.99990356,0.9999279
mos,0.99997437,0.99987274,0.9999911,0.9998663,0.99992615
tsn,0.9999491,0.99985164,0.9999861,0.99989945,0.99992156
zul,0.99998784,0.9998972,0.9999487,0.9998466,0.9999201
bam,0.999942,0.99985796,0.9999832,0.99988264,0.99991643
swa,0.99987817,0.9998442,0.9999541,0.99997497,0.99991286
sna,0.9999925,0.99978757,0.9999443,0.9999041,0.99990714
ibo,0.9999258,0.999741,0.99998915,0.9999086,0.99989116
xho,0.999983,0.99985,0.99997336,0.9996791,0.9998714
yor,0.9999628,0.999758,0.9999309,0.999789,0.99986017
ewe,0.9999878,0.99972636,0.9997226,0.9998601,0.9998242
bbj,0.9999431,0.9995147,0.99998313,0.99977636,0.9998043
pcm,0.99995726,0.99985445,0.9996624,0.9995823,0.9997641
fon,0.9999576,0.99988335,0.9999736,0.9988488,0.99966586
hau,0.9977055,0.99371713,0.99990547,0.9883715,0.9949249
