,ORG,PER,LOC,DATE,Mean
lug,0.83372384,0.86294866,0.8494618,0.8018621,0.83699906
kin,0.82214653,0.8215945,0.8122228,0.7822488,0.80955315
nya,0.8054351,0.8219254,0.8069129,0.77515996,0.8023584
sna,0.8023757,0.78503394,0.8065209,0.7820611,0.7939979
luo,0.79290885,0.8001953,0.8059625,0.7744396,0.79337656
tsn,0.79564965,0.80661786,0.7634026,0.77463746,0.7850769
wol,0.7683281,0.7926702,0.79027724,0.7641868,0.7788656
zul,0.7669525,0.7687446,0.77629244,0.749934,0.7654809
ibo,0.7535052,0.7703806,0.75774574,0.7547773,0.7591022
bam,0.74196607,0.7878971,0.75193524,0.7498557,0.75791353
xho,0.7533225,0.7725971,0.77859044,0.7254706,0.75749516
twi,0.758257,0.77490354,0.7474422,0.7367682,0.75434273
ewe,0.76229465,0.758502,0.7470263,0.7385811,0.75160104
pcm,0.7584193,0.78265357,0.74677926,0.71244466,0.75007415
mos,0.7438476,0.75434166,0.7502817,0.72497666,0.74336183
swa,0.7341208,0.78011286,0.7169064,0.7172044,0.7370861
hau,0.73521096,0.7772311,0.73363537,0.69086546,0.73423576
yor,0.7349581,0.7426094,0.7195177,0.7269261,0.7310028
bbj,0.7126909,0.7461817,0.7066888,0.6987901,0.7160879
fon,0.7198604,0.7324127,0.7019148,0.6874733,0.7104153
