,LOC,DATE,PER,ORG,Mean
lug,0.8162414,0.79587483,0.8670077,0.83015984,0.82732093
kin,0.79846776,0.7821639,0.8258289,0.8094734,0.80398357
nya,0.78619313,0.79099166,0.8205937,0.79883593,0.7991536
luo,0.7829371,0.7747594,0.8141855,0.78472865,0.7891526
sna,0.78473794,0.7856635,0.7883558,0.79474854,0.78837645
tsn,0.7596779,0.77373815,0.8052881,0.783736,0.78061
wol,0.75612116,0.7589586,0.7790315,0.7627289,0.76421005
zul,0.768238,0.74650955,0.7612041,0.7576282,0.758395
ibo,0.7659352,0.74713784,0.76390564,0.7372865,0.75356627
bam,0.7371771,0.75487185,0.7746861,0.7273658,0.7485252
pcm,0.73818207,0.71412814,0.7785071,0.743843,0.7436651
xho,0.7538339,0.7024075,0.7833712,0.7342769,0.74347234
ewe,0.74069965,0.73416305,0.7501193,0.7450775,0.74251485
twi,0.74498177,0.7275331,0.7558291,0.7397276,0.74201787
mos,0.73472893,0.7137939,0.74710464,0.73176223,0.7318474
hau,0.7346951,0.69495726,0.7645197,0.71891236,0.72827107
yor,0.71660376,0.71854573,0.7291822,0.72307104,0.7218507
swa,0.69514173,0.7113229,0.749959,0.716237,0.71816516
bbj,0.69717705,0.69693106,0.7276029,0.69984645,0.7053894
fon,0.6891562,0.68458116,0.7152604,0.7080411,0.69925976
