Cosine similarity to Runyankore (nyn) computed from concatenated URIEL/lang2Vec typological feature vectors (syntax, and phonology).

aux_code,aux_name,country_spoken,cosine_similarity
lug,Luganda,Uganda,0.943879807448539
kin,Kinyarwanda,Rwanda,0.898933149950989
swa,Swahili,Tanzania; Kenya; Democratic Republic of the Congo,0.892147986772952
luo,Luo (Dholuo),Kenya,0.822425315277616
twi,Twi,Ghana,0.772727272727272
nya,Nyanja (Chichewa),Malawi; Zambia,0.935667400761877
sna,Shona,Zimbabwe,0.943879807448539
bbj,Ghomala,Cameroon,0.857609019410407
ibo,Igbo,Nigeria,0.755742181606458
tsn,Tswana (Setswana),Botswana; South Africa,0.933563871396213
yor,Yoruba,Nigeria; Benin,0.691260377203055
pcm,Nigerian Pidgin (Naija),Nigeria,0.631031502839405
hau,Hausa,Nigeria; Niger,0.710805708506027
zul,Zulu,South Africa,0.841125188358774
fon,Fon,Benin,0.681689220556991
ewe,Ewe,Ghana; Togo,0.67455091682833
xho,Xhosa,South Africa,0.889108448948774
mos,Mossi (Mooré),Burkina Faso,0.615457454896664
bam,Bambara,Mali,0.571739346273605
wol,Wolof,Senegal,0.719146519960791

