aux_code,aux_name,group,S_total
lug,Luganda,2,0.9346318870075324
kin,Kinyarwanda,1,0.6177645379745957
swa,Swahili,1,0.5691179406033241
luo,Luo (Dholuo),1,0.5477228865348017
twi,Twi,0,0.5
nya,Nyanja (Chichewa),0,0.40490733238677074
sna,Shona,0,0.3850194950219377
bbj,Ghomala,0,0.3655923474929831
ibo,Igbo,0,0.3568625141665606
tsn,Tswana (Setswana),0,0.3530246324687298
yor,Yoruba,0,0.3483644556732729
pcm,Nigerian Pidgin (Naija),0,0.34798124570278943
hau,Hausa,0,0.3468944720279423
zul,Zulu,0,0.3462622421217223
fon,Fon,0,0.34545960056431874
ewe,Ewe,0,0.34435589612193435
xho,Xhosa,0,0.34434949523786257
mos,Mossi (Mooré),0,0.34094667280721563
bam,Bambara,0,0.33716468122345816
wol,Wolof,0,0.3349326278352129
