aux_code,aux_name,S_script,S_locale,S_geo,S_official,S_pop,S_endang,S_total,distance_km,group
twi,Twi,1.0,0.0,,1.0,0.8692803136799154,1.0,1.0,,0
kin,Kinyarwanda,1.0,0.0,0.8532936139237876,0.0,0.860034422116623,1.0,0.9991836578920088,158.65157744300723,1
lug,Luganda,1.0,1.0,0.8038956610225975,1.0,0.9207939342881966,1.0,0.9989087848610498,218.28579307217035,2
luo,Luo (Dholuo),1.0,0.0,0.6431686596044053,1.0,0.9288401051310469,1.0,0.9980144255720094,441.34828804393743,0
swa,Swahili,1.0,0.2,0.5073538218099725,0.0,0.5495919134417082,1.0,0.9972586890703687,678.5466453989039,1
nya,Nyanja (Chichewa),1.0,0.0,0.21472199716031232,0.0,0.8293551029630375,1.0,0.9956303504070763,1538.4111240111135,1
sna,Shona,1.0,0.0,0.1550584850658132,0.0,0.8380456295278405,1.0,0.9952983550622514,1863.9529102260672,1
bbj,Ghomala,1.0,0.0,0.09677704247894929,1.0,0.7899252107168782,1.0,0.9949740501906597,2335.3454773012113,0
ibo,Igbo,1.0,0.0,0.07058754249968195,1.0,0.7460514332041919,1.0,0.99482831971367,2650.901601898264,0
tsn,Tswana (Setswana),1.0,0.0,0.05907389740618934,0.0,0.9133031284438358,1.0,0.994764252473261,2828.9661203882238,1
yor,Yoruba,1.0,0.0,0.0450933670198188,1.0,0.7460514332041919,1.0,0.9946864583434232,3099.0201160210495,0
pcm,Nigerian Pidgin (Naija),1.0,0.0,0.04394373710836827,1.0,0.6945378125959107,1.0,0.9946800612714863,3124.8451653835186,0
hau,Hausa,1.0,0.0,0.04068341608382697,1.0,0.7450863280008824,1.0,0.9946619193390929,3201.9347367987543,0
zul,Zulu,1.0,0.0,0.03878672636516697,0.6666666666666667,0.8213089321201872,1.0,0.9946513652812596,3249.677194874371,0
fon,Fon,1.0,0.0,0.03637880169295622,1.0,0.9815534464597702,1.0,0.9946379664759631,3313.7690450559735,0
ewe,Ewe,1.0,0.0,0.03306768836580312,0.6666666666666667,0.9815534464597702,1.0,0.9946195419117326,3409.198655677389,0
xho,Xhosa,1.0,0.0,0.03304848571358778,0.0,0.8578409410397467,1.0,0.9946194350593044,3409.779531779876,1
mos,Mossi (Mooré),1.0,0.0,0.02284001842164699,1.0,0.8780714179457283,1.0,0.9945626304311532,3779.2410876426834,0
bam,Bambara,1.0,0.0,0.011494043670374475,0.0,0.8692803136799154,1.0,0.9944994961859892,4465.926319497638,1
wol,Wolof,1.0,0.0,0.004797883505638652,0.33333333333333337,0.8474927697501904,1.0,0.9944622356573201,5339.5803946345795,1
