language,sim,f1
bam,0.8581163303210333,0.332
bbj,0.9486832980505138,0.096
ewe,0.8451542547285165,0.263
fon,0.8581163303210333,0.383
hau,0.9128709291752769,0.294
ibo,0.8215838362577492,0.243
kin,0.8944271909999159,0.576
lug,0.9486832980505138,0.521
luo,0.9486832980505138,0.323
mos,0.8164965809277259,0.33
pcm,0.8999999999999999,0.17
nya,0.9999999999999999,0.462
sna,0.9486832980505138,0.307
swa,0.762770071396474,0.5
tsn,0.9486832980505138,0.433
twi,0.8999999999999999,0.398
wol,0.7999999999999999,0.481
xho,0.8944271909999159,0.417
yor,0.7999999999999999,0.174
zul,0.760638829255665,0.415
