language,sim,f1
bam,-1.887216668732201,0.277
bbj,0.4868177713193539,0.025
ewe,-0.990361682376269,0.441
fon,-0.9142402343044999,0.204
hau,-0.76471338064254,0.336
ibo,-0.1894140893457697,0.269
kin,0.9469869291022488,0.557
lug,1.2263079214364425,0.495
luo,0.17919649474116897,0.414
mos,-1.4561144624080455,0.263
pcm,-1.4072336677158919,0.143
nya,1.0550332030299276,0.447
sna,1.2263079214364425,0.352
swa,1.1389345376925186,0.341
tsn,1.1389345376925186,0.241
twi,-0.1894140893457697,0.377
wol,-0.458801147537182,0.45
xho,0.8656280591264031,0.309
yor,-0.7187989609076025,0.247
zul,0.7121610077387419,0.371
